article_title,domain_area,notes
ABSENCE AND LEAVE,leave_attendance,
ABSENT WITHOUT OFFICIAL LEAVE/ENFORCED LEAVE,leave_attendance,
ACTIONS BASED ON UNACCEPTABLE PERFORMANCE,discipline_adverse_actions,
ADDITIONAL DUES ALLOTMENT,union_structure_representation,
ADMINISTRATIVE ELECTRONIC MAIL & SOCIAL MEDIA,facilities_equipment_workplace,
ADMINISTRATIVE LEAVE,leave_attendance,
ADVERSE ACTIONS,discipline_adverse_actions,
AFFIRMATIVE ACTION,legal_compliance,
ALTERNATIVE DISPUTE RESOLUTION (ADR),dispute_resolution,
ANNUAL LEAVE,leave_attendance,
ARBITRATION,dispute_resolution,
ARBITRATION PROCEDURE,dispute_resolution,
ASSIGNMENTS AND DETAILS,staffing_career_movement,
ATTENDANCE AND LEAVE,leave_attendance,
AWARDS AND RECOGNITION,pay_awards_benefits,
AWARDS PROGRAM,pay_awards_benefits,
BASIC WORKWEEK,work_schedule_overtime,
BASIC WORKWEEK AND OVERTIME,work_schedule_overtime,
BREAK ROOMS/BREAK AREAS,facilities_equipment_workplace,
CALENDAR DAYS,records_privacy_admin,
CAREER SEASONAL POSITIONS,staffing_career_movement,
CHANGES IN CONDITIONS OF EMPLOYMENT/UNION,bargaining_contract_term,
CHILD CARE/ELDER CARE,legal_compliance,
COLLABORATIVE CONFLICT RESOLUTION (CCR),dispute_resolution,
COMMITTEES,other,
CONTRACTING OUT,management_rights_operations,
CONTRACTING OUT BARGAINING UNIT WORK,union_structure_representation,
CONTRACTING OUT WORK,management_rights_operations,
COURT LEAVE,leave_attendance,
COVERAGE AND RECOGNITION,union_structure_representation,
CRITICAL INCIDENT STRESS DEBRIEFING,management_rights_operations,
DAY CARE,other,
DEFINITIONS,records_privacy_admin,
DETAILS,staffing_career_movement,
DETAILS AND REASSIGNMENTS,staffing_career_movement,
DETAILS AND TEMPORARY PROMOTIONS,staffing_career_movement,
"DETAILS, REASSIGNMENTS, AND TEMPORARY PROMOTIONS",staffing_career_movement,
DISCIPLINARY ACTIONS,discipline_adverse_actions,
DISCIPLINARY AND ADVERSE ACTIONS,discipline_adverse_actions,
DISCIPLINE,discipline_adverse_actions,
DISCIPLINE AND ADVERSE ACTIONS,discipline_adverse_actions,
DRUG-FREE WORKPLACE PROGRAM,health_safety_accommodation,
DUES WITHHOLDING,union_structure_representation,
DUES WITHOLDING,union_structure_representation,
DURATION AND CHANGES,bargaining_contract_term,
DURATION AND DISTRIBUTION OF THE AGREEMENT,bargaining_contract_term,
DURATION AND EFFECT,bargaining_contract_term,
DURATION AND EXTENT OF AGREEMENT,bargaining_contract_term,
DURATION AND TERMINATION,bargaining_contract_term,
DURATION OF AGREEMENT,bargaining_contract_term,
EDUCATION ACTIVITIES,training_development,
EDUCATION PERSONNEL SYSTEM,training_development,
EDUCATIONAL REIMBURSEMENT,training_development,
EFFECT OF LAW AND REGULATION,legal_compliance,
EMPLOYEE ASSISTANCE PROGRAM,health_safety_accommodation,
EMPLOYEE ASSISTANCE PROGRAM (EAP),health_safety_accommodation,
EMPLOYEE AWARDS AND RECOGNITION,pay_awards_benefits,
EMPLOYEE COUNSELING SERVICES PROGRAM,other,
EMPLOYEE DEVELOPMENT AND TRAINING,training_development,
EMPLOYEE INFORMATION,records_privacy_admin,
"EMPLOYEE INJURY, REASONABLE ACCOMMODATION AND FITNESS FOR DUTY",health_safety_accommodation,
EMPLOYEE PERFORMANCE MANAGEMENT AND RECOGNITION PROGRAM,performance_management,
EMPLOYEE RECOGNITION AND AWARDS,pay_awards_benefits,
EMPLOYEE RECORDS AND PRIVACY,records_privacy_admin,
